Companies,Keywords,Search,Search Engine,Title,Link,Time Stamp,Media name
Tata,lawsuit,Tata lawsuit,Bing,Nykaa Fashion sues Tata Cliq CEO for alleged breach of confidentiality and data misuse,https://www.cnbctv18.com/market/nykaa-fashion-sues-tata-cliq-ceo-for-alleged-breach-of-confidentiality-and-data-misuse-19471511.htm,2024-09-05T16:58:35+05:30,cnbctv18
Tata,lawsuit,Tata lawsuit,Bing,"Nykaa sues Tata Cliq CEO Gopal Asthana for contract breach, says he approached employees to join rival company",https://www.businessinsider.in/business/news/nykaa-sues-tata-cliq-ceo-gopal-asthana-for-contract-breach-says-he-approached-employees-to-join-rival-company/articleshow/113082094.cms,,Business Insider India
Tata,lawsuit,Tata lawsuit,Bing,Nykaa sues ex-executive Gopal Asthana who now heads Tata Cliq: Report,https://www.msn.com/en-in/news/other/nykaa-sues-ex-executive-gopal-asthana-who-now-heads-tata-cliq-report/ar-AA1q1mSN?ocid=BingNewsVerp,,Hindustan Times on MSN
Tata,lawsuit,Tata lawsuit,Bing,Nykaa sues former CBO Gopal Asthana for breach of confidentiality,https://yourstory.com/2024/09/nykaa-sues-former-cbo-gopal-asthana-breach-of-confidentiality,,Your Story
Tata,lawsuit,Tata lawsuit,Bing,"Beauty brand Nykaa sues former top official for contract breach, poaching",https://www.business-standard.com/companies/news/beauty-brand-nykaa-sues-former-top-official-for-contract-breach-poaching-124090500111_1.html,,Business Standard
Tata,lawsuit,Tata lawsuit,Bing,"ETtech Exclusive: Nykaa sues former CBO, current Tata Cliq CEO Asthana for contract breach",https://economictimes.indiatimes.com/tech/technology/nykaa-sues-former-executive-asthana-who-now-heads-tata-cliq/articleshow/113072347.cms,,Indiatimes
Tata,lawsuit,Tata lawsuit,Bing,"Nvidia, Microsoft hit with patent lawsuit over AI computing technology",https://timesofindia.indiatimes.com/business/international-business/nvidia-microsoft-hit-with-patent-lawsuit-over-ai-computing-technology/articleshow/113144144.cms,,Indiatimes
Tata,Merger,Tata Merger,Bing,Tata LCC to complete on October 1; mega AI Express to have 100 aircraft by year end,https://timesofindia.indiatimes.com/business/india-business/ex-airasia-india-to-be-merged-into-ai-express/articleshow/113177707.cms,,Indiatimes
Tata,Merger,Tata Merger,Bing,Merger News: Tata Consumer Products and its 3 subsidiaries - Check latest update,https://www.msn.com/en-in/autos/news/merger-news-tata-consumer-products-and-its-3-subsidiaries-check-latest-update/ar-AA1pPjNw?ocid=BingNewsVerp,,ET Now on MSN
Tata,Merger,Tata Merger,Bing,Tata Consumer Products Completes Merger Of Three Wholly-Owned Subsidiaries In India,https://www.freepressjournal.in/business/tata-consumer-products-completes-merger-of-three-wholly-owned-subsidiaries-in-india,,The Free Press Journal
